asn,description,total_ipv4,observed_bad_ipv4_unique,observed_bad_ipv4_weighted,abuse_ratio_unique_pct,abuse_ratio_weighted_pct,distinct_feeds,distinct_feed_families,maliciousness_score,confidence_score,category,operator_profile,operator_tags,recommended_action,spamhaus_asndrop_flag,community_bad_asn_flag,known_scanner_flag,score_density,score_volume,score_diversity,score_severity,score_persistence,score_routing,score_context_adjustment,routing_risk_score,rpki_risk_score,spamhaus_drop_ipv4_weighted,threatfox_ipport_recent_ipv4_weighted,urlhaus_recent_urls_ipv4_weighted,openphish_feed_ipv4_weighted,ripe_first_seen_utc,ripe_last_seen_utc,ripe_visibility_v4_pct,ripe_announced_prefixes_v4,ripe_announced_ipv4,ripe_observed_neighbours,ripe_rpki_total_prefixes_v4,ripe_rpki_prefixes_checked_v4,ripe_rpki_valid_prefixes_v4,ripe_rpki_invalid_asn_prefixes_v4,ripe_rpki_invalid_length_prefixes_v4,ripe_rpki_invalid_prefixes_v4,ripe_rpki_unknown_prefixes_v4,ripe_rpki_coverage_pct_v4,ripe_rpki_partial_flag,first_seen_utc,last_seen_utc,runs_seen_30d,days_observed_30d,reasons
AS211619,HR - MAXKO,8192,5632,5636,68.750000,68.798828,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,6,15,0,6,5632,0,4,0,2021-03-31T08:00:00,2026-08-21T16:00:00,99.69604863221885,32,8192,47,32,12,11,1,0,1,0,37.5,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 6
AS210558,DE - SERVICES-1337-GMBH 1337-SERVICES-GMBH-NETWORK,5631,5631,5736,100.000000,101.864678,5,5,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,5631,22,83,0,2022-03-04T16:00:00,2026-08-21T16:00:00,98.17629179331307,22,5632,7,22,12,12,0,0,0,0,54.54545454545454,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS202412,SC - OMEGATECH-AS,5376,5376,5799,100.000000,107.868304,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,5376,40,383,0,2018-06-06T08:00:00,2026-08-21T16:00:00,98.48024316109422,21,5376,2,21,12,12,0,0,0,0,57.14285714285714,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS211121,GB - TIGER-MSK,5120,5120,5120,100.000000,100.000000,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,6,15,4,2,5120,0,0,0,2026-04-07T16:00:00,2026-08-21T16:00:00,98.17629179331307,5,5120,1,5,5,0,0,0,0,5,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 4 | RIPE RPKI risk score 2
AS24544,HK - OVERCASTS-AS-AP Overcasts Limited,9216,4096,4097,44.444444,44.455295,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,0,2,4096,1,0,0,2006-01-20T08:00:00,2026-08-21T16:00:00,99.69604863221885,26,9984,3,36,12,0,0,0,0,12,33.33333333333333,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 2
AS400018,US - ATT-ENTERPRISES-LLC,4096,4096,4096,100.000000,100.000000,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,4096,0,0,0,2024-11-13T16:00:00,2026-08-21T16:00:00,98.17629179331307,2,4096,1,2,2,0,0,0,0,2,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS138968,JP - RAINBOWIDC-AS-AP rainbow network limited,7168,3841,3842,53.585379,53.599330,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,6,15,0,6,3840,2,0,0,2020-02-22T08:00:00,2026-08-21T16:00:00,99.69604863221885,24,11008,23,24,12,9,1,0,1,2,50.0,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 6
AS51396,DE - PFCLOUD,7936,3328,3839,41.935484,48.374496,5,5,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,3584,16,239,0,2010-10-06T08:00:00,2026-08-21T16:00:00,99.69604863221885,31,7936,72,31,12,12,0,0,0,0,38.70967741935484,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS402253,KN - SKN-NETWORK-1 - SKN Subnet & Telecom Ltd,3328,3328,3358,100.000000,100.901442,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,access_isp_or_telco",hard_block,1,0,0,35,15,15,10,10,4,15,4,0,3328,25,5,0,2026-04-01T00:00:00,2026-08-21T16:00:00,98.17629179331307,3,3328,1,3,3,1,0,0,0,2,100.0,0,2026-04-17T22:04:11.353018+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 4
AS44382,US - WHITELABEL,3584,2564,2631,71.540179,73.409598,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,2560,5,66,0,2008-02-06T16:00:00,2026-08-21T16:00:00,99.69604863221885,14,3584,2,14,12,12,0,0,0,0,85.71428571428571,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS133731,HK - CLOUDIE-AS-AP Cloudie Limited,3584,2562,2563,71.484375,71.512277,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,2560,3,0,0,2015-03-11T08:00:00,2026-08-21T16:00:00,99.69604863221885,19,4352,4,20,12,12,0,0,0,0,60.0,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS140869,NZ - TGL-AS-AP Turing Group Limited,16640,2306,2308,13.858173,13.870192,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,2304,4,0,0,2020-07-31T08:00:00,2026-08-21T16:00:00,99.69604863221885,62,16640,2,62,12,8,0,0,0,4,19.35483870967742,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS209946,UA - ALINDA-AS,2816,2304,2313,81.818182,82.137784,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,2304,7,2,0,2020-10-23T16:00:00,2026-08-21T16:00:00,99.69604863221885,9,2816,1,9,9,9,0,0,0,0,100.0,0,2026-05-22T22:12:48.375147+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS197769,US - VPSDEDICATED-AS - VPS Dedicated LLC,2303,2303,2398,100.000000,104.125054,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,2303,32,63,0,2011-12-02T16:00:00,2026-08-21T16:00:00,98.48024316109422,7,2304,1,7,7,7,0,0,0,0,100.0,0,2026-05-15T22:03:58.569583+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS197170,SC - TECHTIES-AS - TechTies Inc.,3328,2062,2155,61.959135,64.753606,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,2048,24,83,0,2010-08-05T16:00:00,2026-08-21T16:00:00,99.69604863221885,13,3328,3,13,12,12,0,0,0,0,92.3076923076923,1,2026-06-05T22:09:58.573277+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS47890,GB - UNMANAGED-DEDICATED-SERVERS,6144,2048,2307,33.333333,37.548828,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,2304,2,1,0,2008-09-17T08:00:00,2026-08-21T16:00:00,99.69604863221885,24,6144,8,24,12,9,0,0,0,3,50.0,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
